2019-03-26 15:29:38,455 [ModalContext] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.amazonaws.emergency_get:demopickupdropget:4.0.0 @ /home/ramesh/workspace/Emergency_PickupDrop_get/Emergency_PickupDrop_Get/pom.xml.
2019-03-26 16:45:14,686 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:45:14,687 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:50:38,095 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:50:38,096 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:50:38,098 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:50:38,098 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:50:46,075 [Worker-24] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/ramesh/workspace/Emergency_PickupDrop_get/Emergency_PickupDrop_Get
2019-03-26 16:50:46,075 [Worker-24] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests -e clean install
2019-03-26 16:51:24,482 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:51:24,483 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:51:24,485 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:51:24,486 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:51:25,540 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:51:25,541 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:51:25,543 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:51:25,544 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:52:02,573 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:52:02,574 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:52:02,577 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:52:02,579 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:52:09,257 [Worker-36] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/ramesh/workspace/Emergency_PickupDrop_get/Emergency_PickupDrop_Get
2019-03-26 16:52:09,257 [Worker-36] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests -e clean install
2019-03-26 16:58:05,227 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:58:05,249 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:58:05,250 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:58:05,251 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:58:06,277 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:58:06,278 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 16:58:06,279 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 16:58:06,280 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-26 17:02:29,257 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-26 17:02:29,258 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
